Date et heure,Nom du joueur,Avion,Temps,Temps (s),Temps intermédiaire1 (s),Temps intermédiaire2 (s),Temps intermédiaire3 (s),Temps intermédiaire4 (s),Temps intermédiaire5 (s),Bonus temps (s)
2023-05-25T23:23:45.000Z,CoubyStark,F-16C_50,03 min 26.470,206.47,28.24,105.27,142.11,200.3,226.72,54
2023-05-27T09:21:32.000Z,CoubyStark,F-16C_50,03 min 37.730,217.73,28.54,105.91,142.33,196.88,225.08,42
2023-05-28T17:05:06.000Z,OuiOui 1-1,FA-18C_hornet,04 min 19.500,259.5,31.41,108.36,156.85,230.33,262.57,44
2023-05-28T17:10:50.000Z,CoubyStark,JF-17,04 min 12.090,252.09,33.56,119.85,159.82,222.59,253.71,38
2023-05-29T11:24:25.000Z,OuiOui 1-1,FA-18C_hornet,04 min 30.940,270.94,30.19,108.91,152.97,231.53,264.22,36
2023-05-29T12:10:32.000Z,OuiOui 1-1,F-14B,04 min 45.580,285.58,31.72,108.63,154.51,248.69,281.66,38
2023-05-29T12:22:55.000Z,OuiOui 1-1,F-14B,05 min 02.120,302.12,33.47,109.38,156.26,246.32,279.3,24
2023-05-29T15:45:50.000Z,CoubyStark,F-16C_50,03 min 07.230,187.23,26.74,95.11,129.61,181.12,204.16,46
2023-05-29T16:11:23.000Z,CoubyStark,FA-18C_hornet,03 min 35.600,215.6,27.33,101.87,137.02,189.02,214.7,30
2023-05-29T16:27:22.000Z,CoubyStark,F-14B,03 min 14.320,194.32,26.4,93.54,124.22,171.18,192.65,24
2023-05-29T16:42:59.000Z,OuiOui 1-1,FA-18C_hornet,03 min 57.470,237.47,29.64,102.6,141.38,208.17,237.64,36
2023-06-01T07:22:03.000Z,CoubyStark,F-16C_50,02 min 51.870,171.87,26.88,98.59,132.87,189.56,216.47,76
2023-06-02T10:21:41.000Z,CoubyStark,Mirage-F1EE,04 min 48.970,288.97,30.94,118.55,159.5,221.99,253.35,3
2023-06-29T19:53:13.000Z,CoubyStark,F-16C_50,03 min 33.750,213.75,26.73,95.35,130.11,185.74,212.49,31
2023-06-30T18:32:19.000Z,Madmat,FA-18C_hornet,04 min 14.310,254.31,27.58,99.19,135.7,228.93,261.8,41
2023-06-30T18:42:50.000Z,Madmat,FA-18C_hornet,04 min 03.760,243.76,27.98,100,136.91,201.63,228.98,16
2023-06-30T18:53:33.000Z,Madmat,FA-18C_hornet,03 min 42.650,222.65,27.83,99.99,138.12,212.68,239.08,48
2023-07-01T11:18:33.000Z,Madmat,FA-18C_hornet,03 min 38.000,218,27.4,99.08,136.99,197.26,223.37,38
2023-07-01T11:27:34.000Z,Madmat,FA-18C_hornet,03 min 41.160,221.16,27.95,100.15,138.76,200.74,226.5,40
2023-07-01T11:32:28.000Z,Madmat,FA-18C_hornet,03 min 40.660,220.66,27.84,99.85,137.47,198.83,223.36,31
2023-07-01T11:39:31.000Z,Madmat,FA-18C_hornet,03 min 11.550,191.55,27.44,100.69,134.88,196.07,220.38,60
2023-07-09T20:14:38.000Z,Asta☠,Mirage-F1EE,03 min 27.030,207.03,28.12,103.7,142.48,205.08,235.8,66
2023-07-10T18:13:32.000Z,Asta☠,MiG-21Bis,03 min 39.800,219.8,30.89,118.17,159.83,223.27,251.77,66
2023-12-17T15:44:05.000Z,CoubyStark,F-16C_50,02 min 42.920,162.92,26.62,97.37,127.98,180.27,203.81,70
2023-12-17T18:16:23.000Z,CoubyStark,Mirage-F1EE,04 min 14.440,254.44,27.99,103.2,142.14,198.72,228.09,31
2023-12-17T19:09:39.000Z,CoubyStark,FA-18C_hornet,03 min 16.160,196.16,27.45,100.52,135.04,189.22,213.27,50
2024-05-04T19:54:28.000Z,CoubyStark,F-16C_50,03 min 38.040,218.04,26.51,100.17,137.49,195.35,218.69,31
2024-07-14T05:20:51.000Z,CoubyStark,F-16C_50,04 min 04.700,244.7,31.67,119.87,165.71,232,264.07,58
2024-07-15T19:12:51.000Z,Wolkern721,F-16C_50,04 min 16.370,256.37,31.49,121.01,166.62,236.92,269.25,52
2024-07-15T19:40:29.000Z,pogo,F-14B,04 min 58.510,298.51,35.73,130.75,178.19,283.28,322.7,68
2024-07-15T19:52:03.000Z,Wolkern721,F-16C_50,03 min 59.030,239.03,31.76,111.46,157.29,223.38,250.73,53
2024-07-15T20:14:07.000Z,Noz,FA-18C_hornet,04 min 14.720,254.72,27.5,102.81,169.45,236.83,264.62,43
2024-07-15T21:35:25.000Z,Wolkern721,F-16C_50,03 min 18.990,198.99,28.2,108.77,144.97,214.99,241.03,79
2024-07-18T15:19:14.000Z,CoubyStark,M-2000C,04 min 27.500,267.5,32.65,124.41,171.53,245.72,278.75,52
2024-07-18T19:09:45.000Z,CoubyStark,M-2000C,04 min 28.180,268.18,32.74,124.27,171.39,249.22,283.04,55
2024-07-18T19:38:38.000Z,VALTA,M-2000C,03 min 44.750,224.75,31.54,109.5,149.98,207.08,235.6,46
2024-07-18T19:46:07.000Z,Dick,AV8BNA,04 min 48.020,288.02,38.45,150.08,210.88,301.73,343.95,103
2024-07-18T20:17:53.000Z,VALTA,M-2000C,03 min 36.670,216.67,28.05,99.03,138.37,194.15,223.48,37
2024-07-18T20:24:56.000Z,Dick,AV8BNA,04 min 19.150,259.15,39.33,142.27,195.19,273.93,310.09,94
2024-07-18T21:26:25.000Z,Nyltii,FA-18C_hornet,03 min 43.750,223.75,27.27,102.28,140.7,204.67,230.01,37
2024-07-18T21:31:50.000Z,Nyltii,FA-18C_hornet,04 min 20.370,260.37,27.78,103.01,142.51,209.49,236.1,6
2024-07-18T22:14:06.000Z,Nyltii,FA-18C_hornet,03 min 29.480,209.48,27.53,105.15,143.89,207.88,235.45,56
2024-07-18T22:30:18.000Z,Nyltii,FA-18C_hornet,03 min 06.690,186.69,27.55,105.67,141.9,204.59,232.51,77
2024-07-18T22:42:42.000Z,Nyltii,M-2000C,02 min 35.670,155.67,25.45,94.75,130.55,182.38,205.75,78
2024-07-21T09:12:32.000Z,CoubyStark,F-4E-45MC,03 min 47.500,227.5,28.38,107.09,149.33,207.54,236.14,43
2024-07-22T19:13:29.000Z,CoubyStark,F-16C_50,04 min 37.240,277.24,31.65,119.73,163.29,231.96,305.02,79
2024-07-22T19:19:26.000Z,CoubyStark,F-16C_50,04 min 02.730,242.73,31.85,120.64,164.4,230.78,260.88,56
2024-07-22T19:38:17.000Z,CoubyStark,FA-18C_hornet,03 min 35.370,215.37,28.63,108.95,147.32,208.85,234.26,54
2024-07-25T19:13:57.000Z,CoubyStark,F-16C_50,03 min 48.880,228.88,31.68,120.52,163.91,230.69,261.55,74
2024-07-25T19:42:40.000Z,CoubyStark,F-16C_50,03 min 13.690,193.69,26.55,98.18,132.1,176.95,198.41,31
2024-07-25T20:01:19.000Z,CoubyStark,F-16C_50,02 min 59.630,179.63,26.87,97.42,131.14,185.03,208.32,58
2024-07-25T20:14:20.000Z,Dick,AV8BNA,04 min 25.490,265.49,39.35,151.3,205.4,286.94,322.27,99
2024-07-25T20:30:57.000Z,Dick,AV8BNA,03 min 39.510,219.51,36.09,138.47,185.13,260.76,296.18,119
2024-07-25T20:42:21.000Z,Dick,AV8BNA,03 min 46.120,226.12,35.89,135.89,183.09,255.92,292.18,109
2024-07-25T20:50:54.000Z,Dick,AV8BNA,04 min 01.030,241.03,35.73,136.64,185.19,261.14,296.84,99
2024-07-25T21:00:29.000Z,Dick,AV8BNA,03 min 33.230,213.23,36.1,137.34,184.7,260.03,296.32,126
